User_ID,Income,Expense,Savings,Debt_Payment,Transaction_Count
U1259,30854,22326,8528,4018,22
U1260,120084,63310,56774,11302,105
U1261,68623,32623,36000,1970,89
U1262,37392,15101,22291,8389,149
U1263,85680,31368,54312,17586,21
U1264,76717,27948,48769,15374,121
U1265,149937,72287,77650,5788,54
U1266,117092,93789,23303,5408,117
U1267,80859,52622,28237,9446,49
U1268,134095,88802,45293,922,135
U1269,56309,19895,36414,419,27
U1270,117455,102497,14958,18588,63
U1271,93734,77522,16212,10789,55
U1272,100467,45370,55097,1120,96
U1273,82662,50724,31938,11260,50
U1274,128506,112605,15901,17334,66
U1275,139751,77132,62619,2336,74
U1276,148906,126202,22704,5373,125
U1277,42688,36971,5717,2243,140
U1278,55342,24554,30788,19029,74
U1279,67157,38775,28382,4612,31
U1280,97863,40028,57835,13946,22
U1281,136308,107473,28835,18249,49
U1282,82083,41178,40905,11104,42
U1283,136081,104327,31754,13429,111
U1284,95733,74097,21636,6371,134
U1285,119045,57382,61663,6359,123
U1286,64698,32994,31704,7863,137
U1287,140078,117514,22564,3228,24
U1288,110623,56340,54283,14382,123
U1289,52671,43983,8688,18755,127
U1290,55184,24041,31143,2891,84
U1291,123384,96301,27083,3756,140
U1292,72107,63691,8416,15770,49
U1293,116202,99064,17138,16478,103
U1294,139893,72744,67149,2674,51
U1295,81663,57036,24627,6898,35
U1296,45708,18365,27343,10147,57
U1297,121906,58259,63647,793,55
U1298,79811,50106,29705,2116,133
U1299,32811,11919,20892,5779,85
U1300,86250,65783,20467,12298,124
U1301,142547,84215,58332,14153,104
U1302,102082,81860,20222,11111,21
U1303,64754,46527,18227,10789,94
U1304,125742,74759,50983,11397,86
U1305,136642,64390,72252,12999,74
U1306,41411,21683,19728,814,25
U1307,32911,17083,15828,16729,105
U1308,97270,49413,47857,10541,79
U1309,113763,63852,49911,2443,120
U1310,38680,15127,23553,10457,31
U1311,114896,99144,15752,10380,68
U1312,113879,65092,48787,7783,61
U1313,101295,35612,65683,11473,101
U1314,118614,53659,64955,17368,54
U1315,130689,77662,53027,15328,86
U1316,41111,20943,20168,827,99
U1317,67504,39863,27641,19915,26
U1318,31802,20333,11469,7147,33
U1319,38155,21598,16557,4451,92
U1320,103656,51022,52634,15343,85
U1321,69384,55850,13534,13635,110
U1322,142561,95997,46564,5959,149
U1323,77254,45729,31525,126,39
U1324,51918,19399,32519,19561,29
U1325,115981,96971,19010,8795,44
U1326,90713,37339,53374,11641,44
U1327,60306,26692,33614,7196,73
U1328,46646,25553,21093,11559,52
U1329,76843,55173,21670,3368,114
U1330,126601,56547,70054,3797,33
U1331,120735,57906,62829,15114,84
U1332,137512,85842,51670,13718,129
U1333,46371,24156,22215,1792,99
U1334,107371,82988,24383,11053,73
U1335,141472,98281,43191,3476,144
U1336,32049,24603,7446,3417,44
U1337,61616,28581,33035,1645,136
U1338,133727,95492,38235,14755,44
U1339,142893,104250,38643,19414,98
U1340,50932,43666,7266,19256,87
U1341,147796,83625,64171,3072,31
U1342,59855,24116,35739,1854,51
U1343,91434,76758,14676,4662,147
U1344,102694,62859,39835,6514,115
U1345,73016,48291,24725,2708,111
U1346,37400,27177,10223,11694,50
U1347,147858,74190,73668,9524,97
U1348,72642,60629,12013,19891,39
U1349,45151,38654,6497,6456,79
U1350,81407,43767,37640,4212,112
U1351,96690,39117,57573,13224,62
U1352,34499,20933,13566,7970,149
U1353,36295,20521,15774,16920,79
U1354,89040,68659,20381,1625,50
U1355,42183,33772,8411,10314,24
U1356,59299,26492,32807,7973,29
U1357,42874,35621,7253,8577,108
U1358,146336,57010,89326,8070,149
U1359,62711,27519,35192,8666,145
U1360,35539,28647,6892,3600,30
U1361,137941,91427,46514,6783,75
U1362,83351,54854,28497,13226,102
U1363,91267,34167,57100,9146,118
U1364,78354,68580,9774,4971,92
U1365,32557,27321,5236,13490,134
U1366,68360,56367,11993,17589,26
U1367,112018,80636,31382,12951,99
U1368,32200,17631,14569,12312,116
U1369,142476,112234,30242,1990,23
U1370,98497,79332,19165,5299,23
U1371,76975,53527,23448,12997,122
U1372,51357,29966,21391,19956,59
U1373,149121,75670,73451,13472,36
U1374,107505,43944,63561,4380,120
U1375,32869,23684,9185,4757,122
U1376,91135,64899,26236,19097,143
U1377,80108,43409,36699,10395,71
U1378,142296,79599,62697,16241,71
U1379,124179,101734,22445,5588,143
U1380,120272,96135,24137,17350,82
U1381,68467,33784,34683,4944,135
U1382,53328,24496,28832,13395,81
U1383,149181,130569,18612,19816,26
U1384,121412,58705,62707,17072,111
U1385,116831,80780,36051,4243,33
U1386,33987,17737,16250,9916,105
U1387,88871,32420,56451,9984,149
U1388,52399,45772,6627,1759,81
U1389,76214,44182,32032,9181,98
U1390,129522,67337,62185,2482,77
U1391,116416,95320,21096,951,139
U1392,100271,50300,49971,2079,84
U1393,74064,44893,29171,2717,32
U1394,100091,60630,39461,9692,101
U1395,137450,115021,22429,7311,71
U1396,70818,26305,44513,18449,136
U1397,75525,48594,26931,768,45
U1398,49830,25375,24455,5490,53
U1399,47429,22693,24736,15534,71
U1400,36893,18267,18626,6645,131
U1401,146381,105353,41028,5232,101
U1402,109909,47551,62358,11485,61
U1403,77333,65408,11925,5797,40
U1404,33436,25026,8410,19719,61
U1405,104290,38758,65532,12342,132
U1406,106213,64538,41675,8038,124
U1407,35895,25974,9921,16002,36
U1408,49738,44062,5676,13087,139
U1409,60746,36494,24252,4873,148
U1410,79377,43668,35709,1481,149
U1411,78404,56761,21643,10093,79
U1412,84045,50223,33822,19835,67
U1413,127888,97149,30739,14422,48
U1414,69790,54580,15210,16438,116
U1415,137455,82882,54573,7643,29
U1416,35600,30860,4740,19846,77
U1417,124660,71378,53282,15708,40
U1418,123179,100617,22562,11271,47
U1419,70764,45127,25637,17216,53
U1420,104543,54725,49818,12600,27
U1421,75714,51850,23864,10998,98
U1422,86835,60891,25944,14295,106
U1423,132946,93908,39038,10682,107
U1424,139616,72419,67197,16380,88
U1425,135983,110085,25898,8519,106
U1426,103744,91931,11813,19694,120
U1427,86491,49875,36616,3300,27
U1428,48589,33929,14660,6722,96
U1429,73484,34266,39218,7218,106
U1430,112989,100494,12495,3054,62
U1431,66212,56176,10036,13575,148
U1432,73525,40295,33230,7970,128
U1433,77202,34500,42702,2143,36
U1434,62635,48594,14041,9503,40
U1435,93208,36835,56373,15149,77
U1436,63828,32632,31196,18922,129
U1437,48711,18721,29990,12175,47
U1438,33420,13797,19623,8356,70
U1439,126752,106360,20392,15070,24
U1440,30301,14446,15855,822,24
U1441,75236,34348,40888,17327,113
U1442,145294,90631,54663,14289,115
U1443,147858,83631,64227,6150,27
U1444,96235,50740,45495,4425,83
U1445,84240,53955,30285,16032,57
U1446,95726,74850,20876,2198,130
U1447,40492,16330,24162,3452,131
U1448,145668,102796,42872,9106,100
U1449,131279,81968,49311,13859,123
U1450,36102,25463,10639,17692,92
U1451,80336,59245,21091,8705,68
U1452,148015,53206,94809,10112,55
U1453,115314,60002,55312,19978,145
U1454,56641,35017,21624,4841,87
U1455,64584,49457,15127,15358,97
U1456,62745,42267,20478,1409,124
U1457,53093,22796,30297,4566,141
U1458,96105,53247,42858,11382,138
U1459,133746,90602,43144,17939,133
U1460,130199,57519,72680,14596,29
U1461,81885,39363,42522,804,110
U1462,66631,35187,31444,13221,21
U1463,141217,52170,89047,1279,137
U1464,102991,91289,11702,13192,32
U1465,34014,15770,18244,7083,114
U1466,41093,26338,14755,11093,51
U1467,48070,22642,25428,17771,51
U1468,65777,53137,12640,12880,143
U1469,86958,45928,41030,15517,30
U1470,112074,67263,44811,19063,29
U1471,40729,34702,6027,2106,34
U1472,129713,75830,53883,16086,36
U1473,75017,44163,30854,4831,78
U1474,96320,63048,33272,19152,97
U1475,57751,28436,29315,3186,143
U1476,136400,103090,33310,2573,133
U1477,135864,117113,18751,12808,41
U1478,108069,89542,18527,2599,51
U1479,135647,99431,36216,4033,132
U1480,135510,108668,26842,8428,139
U1481,84748,49754,34994,1304,141
U1482,35801,18685,17116,17685,51
U1483,49190,31055,18135,18925,138
U1484,79689,61378,18311,18435,58
U1485,134290,102669,31621,8633,31
U1486,80993,49310,31683,11372,37
U1487,59592,41793,17799,8996,145
U1488,40647,32817,7830,16458,65
U1489,38716,17976,20740,5475,123
U1490,118891,64914,53977,7184,105
U1491,117545,86420,31125,12875,108
U1492,147638,79279,68359,1622,41
U1493,119912,89801,30111,15988,111
U1494,140627,77370,63257,8041,48
U1495,100316,48877,51439,16725,32
U1496,32368,22636,9732,18458,21
U1497,107575,81896,25679,7992,48
U1498,36655,25732,10923,15646,46
U1499,136477,49970,86507,17029,69
U1500,100031,62243,37788,4263,114
U1501,106429,58979,47450,14060,107
U1502,121083,73510,47573,15156,63
U1503,117922,93700,24222,8646,41
U1504,85766,63888,21878,11664,116
U1505,43403,20434,22969,2969,22
U1506,62097,43340,18757,3028,137
U1507,108657,62997,45660,19065,38
U1508,40966,14968,25998,3629,42
U1509,129157,57112,72045,3067,49
U1510,148834,78514,70320,5941,58
U1511,123848,104561,19287,17770,127
U1512,82921,45638,37283,19250,130
U1513,79726,70416,9310,11555,44
U1514,80300,66563,13737,13081,147
U1515,52677,31837,20840,6819,130
U1516,85609,37622,47987,11046,125
U1517,126825,105002,21823,17717,91
U1518,86661,73700,12961,2711,148
U1519,61024,33062,27962,4853,127
U1520,138211,81166,57045,7715,24
U1521,100313,83261,17052,8942,22
U1522,83006,60278,22728,15507,123
U1523,125285,99600,25685,15826,83
U1524,45338,29247,16091,1762,125
U1525,98027,41315,56712,15850,117
U1526,122772,108314,14458,12112,29
U1527,143632,84111,59521,12652,147
U1528,110135,70977,39158,6122,65
U1529,49508,40418,9090,481,85
U1530,33051,11782,21269,14536,131
U1531,78747,51550,27197,153,32
U1532,144692,126093,18599,7617,105
U1533,117142,83551,33591,1524,109
U1534,117235,60022,57213,2120,77
U1535,84021,54141,29880,15048,73
U1536,96412,48568,47844,2343,31
U1537,88335,66998,21337,5136,33
U1538,86179,41195,44984,1240,140
U1539,62093,37973,24120,60,140
U1540,99678,40826,58852,9130,39
U1541,110738,86222,24516,18023,94
U1542,69734,59469,10265,12312,89
U1543,102615,90752,11863,13350,75
U1544,103523,70697,32826,12418,120
U1545,135103,74331,60772,1252,130
U1546,124476,88335,36141,8363,144
U1547,132769,93587,39182,9650,39
U1548,47019,35623,11396,19933,43
U1549,141721,71227,70494,18706,56
U1550,113613,78952,34661,16314,73
U1551,121794,69703,52091,4090,122
U1552,116672,97544,19128,6960,57
U1553,103847,80951,22896,3004,23
U1554,112750,58491,54259,16713,76
U1555,109634,61344,48290,3640,39
U1556,58251,26740,31511,1341,36
U1557,133481,111819,21662,11855,138
U1558,142566,81331,61235,338,90
U1559,55945,30121,25824,5895,23
U1560,120852,86552,34300,12254,33
U1561,62217,23532,38685,19092,22
U1562,38308,18492,19816,11344,99
U1563,35949,18219,17730,1750,74
U1564,81990,29812,52178,2421,139
U1565,31150,21661,9489,7119,43
U1566,119480,42310,77170,5319,101
U1567,130235,54393,75842,15896,79
U1568,104740,64467,40273,11918,68
U1569,146352,75495,70857,13849,82
U1570,96617,62214,34403,4873,129
U1571,124841,90847,33994,4806,128
U1572,46896,26151,20745,8592,95
U1573,76175,40640,35535,12182,49
U1574,37805,24986,12819,19541,77
U1575,35237,22129,13108,16774,136
U1576,145247,79164,66083,12045,119
U1577,50056,32126,17930,4430,38
U1578,75543,39307,36236,8820,113
U1579,86556,56145,30411,4232,132
U1580,144548,81870,62678,11122,82
U1581,141488,122922,18566,15023,135
U1582,33343,27119,6224,8007,132
U1583,43500,25909,17591,17905,66
U1584,83222,52671,30551,9018,76
U1585,59375,26232,33143,1500,137
U1586,39662,35523,4139,6737,64
U1587,46964,24985,21979,3294,23
U1588,143429,113264,30165,18803,66
U1589,89638,71327,18311,19426,66
U1590,103666,75153,28513,4497,97
U1591,115067,71303,43764,17850,143
U1592,148937,83000,65937,19945,94
U1593,97215,34644,62571,614,122
U1594,99042,68314,30728,9374,109
U1595,43284,18791,24493,19607,88
U1596,102789,63977,38812,2667,80
U1597,114664,74196,40468,13409,69
U1598,123468,57335,66133,16514,22
U1599,91389,56806,34583,2983,126
U1600,39435,16697,22738,12651,132
U1601,84340,34884,49456,8230,113
U1602,74078,34638,39440,6640,137
U1603,108832,57687,51145,11779,100
U1604,81293,47245,34048,15317,128
U1605,125981,52292,73689,17304,70
U1606,108781,48790,59991,7564,54
U1607,90403,67832,22571,15520,65
U1608,59124,30904,28220,13737,88
U1609,125435,106971,18464,9323,112
U1610,73919,49231,24688,15229,83
U1611,138761,105312,33449,11713,68
U1612,65247,44378,20869,8502,93
U1613,124758,74977,49781,19625,24
U1614,121747,87853,33894,545,119
U1615,92752,68898,23854,4346,89
U1616,86573,58547,28026,9996,109
U1617,89101,53542,35559,15775,23
U1618,132756,101852,30904,13919,145
U1619,56646,28103,28543,3810,58
U1620,134185,74655,59530,7206,148
U1621,53049,30991,22058,9005,43
U1622,109605,57213,52392,16371,76
U1623,128116,67441,60675,12316,119
U1624,127379,62602,64777,18416,89
U1625,98385,42589,55796,8436,60
U1626,70158,28138,42020,12984,79
U1627,95417,48910,46507,271,127
U1628,53289,22660,30629,19895,76
U1629,140226,68789,71437,18155,50
U1630,130793,70309,60484,10616,103
U1631,39823,32539,7284,4361,55
U1632,90160,36522,53638,7069,127
U1633,71975,43944,28031,17304,125
U1634,39540,33861,5679,3430,105
U1635,46364,26922,19442,12676,33
U1636,34611,21248,13363,10816,139
U1637,57663,25904,31759,2050,99
U1638,81991,56109,25882,11692,125
U1639,87679,57923,29756,1165,89
U1640,134182,113695,20487,2033,63
U1641,60977,33638,27339,145,92
U1642,124704,111969,12735,14269,64
U1643,79115,51506,27609,7832,126
U1644,121007,83047,37960,14286,103
U1645,118223,61080,57143,2632,101
U1646,90890,57053,33837,4494,126
U1647,96387,35911,60476,15152,40
U1648,48071,36951,11120,9155,26
U1649,89275,72806,16469,10426,89
U1650,102369,63057,39312,10233,146
U1651,41938,35484,6454,1828,139
U1652,65195,43026,22169,12260,147
U1653,121680,71070,50610,9130,76
U1654,34000,21071,12929,4805,77
U1655,100588,70424,30164,806,40
U1656,131042,49560,81482,8202,101
U1657,123610,63321,60289,1868,88
U1658,133691,67104,66587,14561,106
U1659,136306,66856,69450,15512,68
U1660,127856,98270,29586,14899,134
U1661,68304,28862,39442,16220,108
U1662,141783,125355,16428,15934,104
U1663,99449,51883,47566,5429,147
U1664,112986,91859,21127,9076,136
U1665,119643,105686,13957,3564,146
U1666,50764,37159,13605,1389,90
U1667,138940,99942,38998,11593,105
U1668,116027,103841,12186,7274,52
U1669,68494,39389,29105,17208,100
U1670,33373,25868,7505,18649,80
U1671,42161,34839,7322,17320,80
U1672,127532,74597,52935,10745,117
U1673,122658,55532,67126,14199,47
U1674,130386,54891,75495,15876,62
U1675,57350,40656,16694,18180,105
U1676,123008,77733,45275,8245,36
U1677,124297,108292,16005,7214,117
U1678,55351,29965,25386,726,117
U1679,118668,106036,12632,19120,84
U1680,144585,85144,59441,13832,93
U1681,45305,35020,10285,11362,104
U1682,105353,49869,55484,18297,24
U1683,106797,93953,12844,10106,21
U1684,95953,36454,59499,7657,41
U1685,87458,76612,10846,18850,131
U1686,137112,97801,39311,14551,76
U1687,50358,40251,10107,7906,85
U1688,33267,22164,11103,7287,93
U1689,112745,100758,11987,892,117
U1690,119588,84853,34735,10222,131
U1691,68513,31791,36722,4675,144
U1692,56092,48708,7384,1933,105
U1693,41338,19025,22313,17764,95
U1694,30412,12823,17589,11873,107
U1695,37543,24170,13373,17674,57
U1696,135891,122162,13729,18024,78
U1697,63496,30498,32998,13239,118
U1698,90692,79599,11093,10874,82
U1699,119084,101698,17386,17602,68
U1700,122920,63722,59198,5016,51
U1701,74425,65512,8913,13774,40
U1702,68756,51858,16898,9752,39
U1703,48888,34108,14780,17338,146
U1704,65735,36876,28859,15585,87
U1705,77295,55205,22090,7291,129
U1706,147474,72569,74905,974,135
U1707,144352,82078,62274,4133,139
U1708,113042,56218,56824,14663,98
U1709,115999,85625,30374,3972,135
U1710,47955,19252,28703,5295,111
U1711,67841,38786,29055,13913,33
U1712,100640,61190,39450,9105,144
U1713,95510,81835,13675,8228,77
U1714,64911,36988,27923,9903,47
U1715,89031,62068,26963,3020,45
U1716,118726,57077,61649,8987,132
U1717,37357,27374,9983,12880,85
U1718,62479,41858,20621,5233,63
U1719,91476,42791,48685,9516,116
U1720,74811,38448,36363,14559,61
U1721,66208,42631,23577,16701,25
U1722,50150,34225,15925,2396,42
U1723,101180,62469,38711,18546,108
U1724,73286,32264,41022,19129,142
U1725,142856,57414,85442,1591,70
U1726,98450,57612,40838,11303,30
U1727,51352,34635,16717,6183,31
U1728,85069,73658,11411,1312,93
U1729,141888,66624,75264,7314,27
U1730,140448,86882,53566,18767,60
U1731,44397,19814,24583,19623,104
U1732,71555,62588,8967,2139,91
U1733,76959,59187,17772,14688,74
U1734,30728,14586,16142,18088,66
U1735,80517,53455,27062,6924,123
U1736,149180,132650,16530,362,61
U1737,96234,71894,24340,18988,79
U1738,69954,58631,11323,13481,31
U1739,77280,49966,27314,3738,149
U1740,109459,85004,24455,2469,26
U1741,46779,35912,10867,16106,99
U1742,93932,44456,49476,16940,128
U1743,102936,89486,13450,9017,22
U1744,54466,24697,29769,2808,46
U1745,66939,48345,18594,16370,133
U1746,99896,57281,42615,14870,126
U1747,65270,33023,32247,12713,59
U1748,89163,43458,45705,7561,148
U1749,112637,85321,27316,2719,27
U1750,81934,48169,33765,11700,120
U1751,94895,53679,41216,3741,143
U1752,62307,52013,10294,9766,126
U1753,84098,74909,9189,3998,120
U1754,90921,51446,39475,18787,23
U1755,35486,30653,4833,16077,129
U1756,38335,16166,22169,294,38
U1757,116900,54071,62829,10177,51
U1758,132795,69542,63253,9882,31
U1759,119112,67400,51712,1136,65
U1760,127203,74627,52576,2064,138
U1761,41130,30984,10146,7009,35
U1762,117508,64863,52645,12987,148
U1763,135955,54798,81157,4543,82
U1764,148324,79040,69284,1007,128
U1765,90566,36839,53727,5445,138
U1766,96703,62730,33973,10706,40
U1767,57192,44902,12290,14749,32
U1768,31062,13579,17483,11718,23
U1769,114076,58301,55775,9439,121
U1770,119780,57011,62769,13281,78
U1771,51545,42887,8658,1435,147
U1772,51689,29925,21764,571,46
U1773,41174,26688,14486,2382,88
U1774,118461,51475,66986,5084,44
U1775,133033,110986,22047,16661,116
