Date,Customer_ID,Category,Region,Device,Funnel_Stage,Stage_Order,Revenue,Order_Flag
2024-12-10,C07616,Accessories,India,Desktop,Visit,1,0,0
2024-02-20,C06506,Wearables,US,Desktop,Checkout,4,0,0
2023-09-04,C00870,Audio,India,Mobile,Add to Cart,3,0,0
2024-03-14,C01394,Wearables,EU,Desktop,Checkout,4,0,0
2023-07-22,C03471,Mobile,EU,Mobile,View,2,0,0
2023-07-03,C05934,Wearables,UK,Mobile,View,2,0,0
2023-05-03,C03192,Wearables,UK,Mobile,Add to Cart,3,0,0
2024-02-05,C03120,Accessories,EU,Mobile,View,2,0,0
2023-10-21,C02116,Mobile,US,Mobile,Purchase,5,42027,1
2023-10-07,C07507,Laptop,EU,Mobile,View,2,0,0
2024-09-01,C07253,Wearables,EU,Mobile,Add to Cart,3,0,0
2023-07-17,C03966,Wearables,US,Desktop,Visit,1,0,0
2024-05-25,C07080,Mobile,India,Mobile,View,2,0,0
2023-05-24,C00377,Accessories,UK,Desktop,Visit,1,0,0
2024-08-31,C05505,Audio,India,Mobile,Checkout,4,0,0
2023-07-20,C02324,Mobile,EU,Desktop,View,2,0,0
2023-05-04,C02816,Audio,India,Desktop,View,2,0,0
2023-07-06,C01942,Laptop,EU,Desktop,Visit,1,0,0
2023-11-22,C07094,Audio,India,Mobile,Visit,1,0,0
2024-04-08,C00205,Wearables,US,Mobile,Add to Cart,3,0,0
2023-12-15,C00745,Accessories,India,Desktop,View,2,0,0
2024-10-21,C03137,Laptop,India,Mobile,Add to Cart,3,0,0
2024-02-07,C07055,Accessories,EU,Mobile,Purchase,5,2068,1
2023-12-12,C05949,Accessories,US,Mobile,Visit,1,0,0
2024-05-25,C07247,Audio,UK,Mobile,View,2,0,0
2023-05-27,C01550,Accessories,UK,Desktop,View,2,0,0
2023-05-28,C04421,Laptop,EU,Mobile,Add to Cart,3,0,0
2024-12-11,C02426,Accessories,US,Mobile,Visit,1,0,0
2024-05-03,C02865,Laptop,India,Desktop,View,2,0,0
2024-10-01,C03974,Wearables,India,Desktop,View,2,0,0
2024-07-04,C04777,Wearables,UK,Mobile,Visit,1,0,0
2023-12-04,C00671,Audio,India,Mobile,Purchase,5,57504,1
2024-10-02,C06772,Mobile,India,Desktop,Visit,1,0,0
2024-04-17,C03418,Wearables,India,Desktop,Visit,1,0,0
2023-05-31,C03066,Mobile,US,Desktop,View,2,0,0
2024-02-19,C01728,Laptop,India,Desktop,Visit,1,0,0
2023-10-25,C05977,Mobile,India,Mobile,Visit,1,0,0
2024-09-02,C06579,Accessories,US,Mobile,Checkout,4,0,0
2023-09-20,C04027,Laptop,EU,Mobile,Checkout,4,0,0
2023-05-24,C07863,Accessories,EU,Desktop,Add to Cart,3,0,0
2023-12-12,C02933,Mobile,EU,Mobile,Add to Cart,3,0,0
2024-09-15,C07546,Accessories,UK,Mobile,Add to Cart,3,0,0
2024-07-25,C06065,Laptop,US,Mobile,Purchase,5,34492,1
2023-01-02,C03815,Accessories,US,Desktop,Add to Cart,3,0,0
2023-10-31,C01704,Mobile,EU,Desktop,Visit,1,0,0
2023-09-11,C03087,Accessories,US,Desktop,Purchase,5,8613,1
2024-10-13,C07622,Accessories,India,Desktop,View,2,0,0
2024-03-28,C03265,Audio,UK,Mobile,Visit,1,0,0
2023-02-06,C05353,Laptop,EU,Mobile,Purchase,5,68230,1
2023-06-09,C07431,Audio,India,Mobile,Visit,1,0,0
2023-01-09,C04542,Mobile,EU,Desktop,Checkout,4,0,0
2023-08-21,C00054,Wearables,US,Desktop,View,2,0,0
2023-04-09,C00692,Mobile,India,Desktop,View,2,0,0
2024-10-20,C06067,Mobile,EU,Desktop,Add to Cart,3,0,0
2023-07-27,C04100,Mobile,UK,Mobile,Purchase,5,69846,1
2023-05-11,C00257,Mobile,UK,Desktop,View,2,0,0
2024-02-08,C03433,Audio,US,Mobile,View,2,0,0
2023-06-01,C00834,Mobile,US,Desktop,Visit,1,0,0
2023-02-23,C07408,Accessories,India,Mobile,Visit,1,0,0
2023-04-30,C02530,Mobile,India,Mobile,View,2,0,0
2024-11-03,C05795,Wearables,US,Mobile,Add to Cart,3,0,0
2024-09-19,C06605,Laptop,US,Desktop,Add to Cart,3,0,0
2024-08-09,C02897,Audio,US,Desktop,Add to Cart,3,0,0
2024-09-16,C01162,Audio,UK,Desktop,Visit,1,0,0
2024-02-24,C03523,Audio,US,Mobile,Visit,1,0,0
2024-02-26,C05444,Audio,UK,Mobile,View,2,0,0
2023-04-14,C00473,Mobile,India,Mobile,Add to Cart,3,0,0
2023-09-11,C05861,Wearables,US,Mobile,Add to Cart,3,0,0
2023-08-15,C02027,Mobile,US,Mobile,Add to Cart,3,0,0
2023-04-22,C01638,Laptop,EU,Desktop,Visit,1,0,0
2024-05-24,C03549,Laptop,UK,Desktop,View,2,0,0
2024-04-17,C02241,Mobile,US,Mobile,Add to Cart,3,0,0
2023-04-09,C02355,Mobile,US,Desktop,Visit,1,0,0
2023-06-02,C07710,Mobile,EU,Mobile,Add to Cart,3,0,0
2023-12-04,C07975,Wearables,UK,Desktop,Visit,1,0,0
2024-12-06,C04855,Audio,India,Mobile,View,2,0,0
2023-06-12,C00906,Laptop,UK,Desktop,View,2,0,0
2024-12-20,C06365,Laptop,UK,Mobile,View,2,0,0
2024-11-11,C06316,Audio,EU,Mobile,Visit,1,0,0
2023-06-10,C01184,Audio,India,Mobile,Visit,1,0,0
2024-08-02,C02220,Laptop,EU,Mobile,Add to Cart,3,0,0
2024-02-02,C05183,Laptop,US,Desktop,Visit,1,0,0
2023-10-04,C03645,Wearables,EU,Mobile,Visit,1,0,0
2024-05-18,C01089,Laptop,EU,Desktop,Checkout,4,0,0
2024-01-27,C01193,Mobile,India,Desktop,Purchase,5,75654,1
2023-05-15,C02129,Mobile,EU,Mobile,View,2,0,0
2023-07-14,C06903,Audio,US,Mobile,Visit,1,0,0
2024-02-05,C05388,Audio,US,Mobile,Add to Cart,3,0,0
2024-10-01,C03452,Mobile,US,Desktop,View,2,0,0
2023-02-02,C03842,Audio,India,Desktop,Visit,1,0,0
2024-11-18,C06217,Mobile,US,Desktop,Checkout,4,0,0
2024-04-04,C00332,Wearables,US,Desktop,Add to Cart,3,0,0
2024-04-14,C01212,Audio,US,Mobile,Add to Cart,3,0,0
2024-01-10,C01049,Accessories,EU,Mobile,Checkout,4,0,0
2023-01-22,C04089,Laptop,UK,Mobile,Visit,1,0,0
2024-10-31,C02276,Mobile,EU,Desktop,View,2,0,0
2023-02-07,C05238,Laptop,India,Mobile,Visit,1,0,0
2023-08-18,C07613,Laptop,EU,Mobile,Visit,1,0,0
2023-12-31,C05228,Audio,UK,Desktop,View,2,0,0
2024-07-16,C06386,Laptop,EU,Desktop,View,2,0,0
2024-03-13,C01635,Accessories,US,Mobile,Visit,1,0,0
2023-10-10,C03606,Audio,UK,Desktop,Checkout,4,0,0
2023-01-27,C07649,Mobile,UK,Mobile,Purchase,5,33041,1
2023-08-14,C00503,Laptop,EU,Mobile,Checkout,4,0,0
2023-10-04,C03570,Laptop,EU,Mobile,Add to Cart,3,0,0
2024-08-31,C01080,Wearables,EU,Desktop,Purchase,5,18419,1
2023-10-11,C07317,Mobile,US,Desktop,View,2,0,0
2024-04-25,C01335,Wearables,US,Desktop,Purchase,5,79583,1
2024-03-28,C04648,Mobile,UK,Desktop,Checkout,4,0,0
2024-10-20,C04019,Laptop,UK,Desktop,Add to Cart,3,0,0
2024-05-30,C07830,Laptop,US,Mobile,Checkout,4,0,0
2024-06-30,C05020,Accessories,UK,Mobile,Visit,1,0,0
2023-07-11,C04217,Audio,US,Desktop,Visit,1,0,0
2023-02-18,C05892,Accessories,India,Mobile,View,2,0,0
2024-05-26,C02074,Mobile,India,Desktop,View,2,0,0
2023-01-17,C04055,Mobile,UK,Desktop,Visit,1,0,0
2023-06-21,C05232,Mobile,India,Desktop,View,2,0,0
2023-08-08,C06655,Mobile,India,Desktop,Purchase,5,62702,1
2023-06-07,C07025,Audio,EU,Desktop,Visit,1,0,0
2024-04-21,C00023,Laptop,EU,Desktop,Visit,1,0,0
2023-02-15,C07849,Accessories,US,Mobile,Visit,1,0,0
2024-01-08,C01850,Laptop,US,Desktop,View,2,0,0
2024-06-01,C07432,Wearables,US,Desktop,Visit,1,0,0
2023-04-09,C02164,Accessories,UK,Mobile,Checkout,4,0,0
2023-02-06,C00480,Mobile,India,Mobile,Visit,1,0,0
2023-10-07,C02355,Mobile,US,Mobile,Visit,1,0,0
2023-12-15,C06375,Wearables,UK,Desktop,Checkout,4,0,0
2024-05-11,C02749,Accessories,US,Mobile,Visit,1,0,0
2023-10-29,C02540,Audio,UK,Desktop,Purchase,5,66368,1
2023-06-30,C04865,Audio,US,Desktop,View,2,0,0
2024-08-29,C01144,Mobile,India,Mobile,View,2,0,0
2023-04-09,C02334,Mobile,EU,Desktop,Visit,1,0,0
2024-11-30,C05084,Mobile,India,Mobile,Checkout,4,0,0
2023-04-26,C07953,Wearables,EU,Desktop,Visit,1,0,0
2023-07-10,C07575,Wearables,EU,Mobile,Add to Cart,3,0,0
2023-09-10,C05478,Laptop,India,Desktop,View,2,0,0
2023-06-10,C07034,Wearables,EU,Mobile,View,2,0,0
2023-09-13,C05272,Accessories,India,Mobile,Checkout,4,0,0
2023-11-19,C02646,Wearables,EU,Desktop,Visit,1,0,0
2023-05-08,C05445,Accessories,India,Desktop,Visit,1,0,0
2023-01-18,C07001,Audio,US,Mobile,Visit,1,0,0
2024-07-19,C06068,Laptop,EU,Mobile,Purchase,5,55697,1
2024-07-23,C00839,Wearables,UK,Mobile,Checkout,4,0,0
2023-11-19,C07414,Audio,US,Desktop,Add to Cart,3,0,0
2024-11-16,C01850,Accessories,US,Desktop,Visit,1,0,0
2024-09-17,C05014,Laptop,India,Mobile,View,2,0,0
2023-10-15,C03387,Audio,EU,Desktop,View,2,0,0
2024-10-24,C05036,Accessories,EU,Desktop,View,2,0,0
2024-09-30,C02853,Laptop,UK,Mobile,View,2,0,0
2023-06-04,C02210,Mobile,India,Desktop,Visit,1,0,0
2024-05-04,C06756,Wearables,India,Desktop,View,2,0,0
2024-01-21,C01393,Mobile,India,Desktop,Visit,1,0,0
2023-04-14,C03257,Mobile,EU,Mobile,View,2,0,0
2024-01-28,C05049,Mobile,US,Desktop,Checkout,4,0,0
2023-09-03,C01960,Audio,US,Mobile,Purchase,5,32536,1
2023-06-25,C00276,Mobile,UK,Mobile,View,2,0,0
2023-02-08,C07141,Mobile,US,Desktop,View,2,0,0
2024-04-21,C04625,Audio,India,Mobile,View,2,0,0
2024-11-12,C01460,Wearables,UK,Desktop,Visit,1,0,0
2024-06-21,C03332,Laptop,UK,Desktop,Visit,1,0,0
2024-02-12,C00959,Laptop,UK,Mobile,Purchase,5,74125,1
2024-06-08,C07413,Wearables,India,Desktop,Visit,1,0,0
2024-05-20,C01842,Audio,India,Mobile,View,2,0,0
2023-02-05,C07506,Mobile,UK,Desktop,View,2,0,0
2024-11-15,C04060,Laptop,UK,Mobile,Visit,1,0,0
2023-01-20,C04146,Wearables,EU,Desktop,Add to Cart,3,0,0
2023-11-17,C07440,Wearables,US,Desktop,View,2,0,0
2024-05-26,C05355,Mobile,India,Desktop,Purchase,5,73382,1
2024-02-04,C06728,Wearables,US,Desktop,Add to Cart,3,0,0
2024-10-15,C05949,Audio,EU,Desktop,View,2,0,0
2024-04-15,C05676,Audio,India,Mobile,View,2,0,0
2023-05-23,C07058,Laptop,India,Desktop,Visit,1,0,0
2023-04-02,C03378,Accessories,UK,Mobile,View,2,0,0
2023-12-20,C02525,Wearables,India,Mobile,Purchase,5,68084,1
2024-12-27,C00488,Audio,UK,Desktop,View,2,0,0
2023-02-20,C02128,Mobile,UK,Mobile,Add to Cart,3,0,0
2024-10-26,C05406,Mobile,US,Desktop,View,2,0,0
2024-11-28,C06705,Accessories,UK,Mobile,View,2,0,0
2024-07-28,C07266,Accessories,EU,Desktop,Visit,1,0,0
2023-07-09,C05598,Accessories,UK,Desktop,Visit,1,0,0
2023-05-05,C01941,Mobile,US,Mobile,Visit,1,0,0
2023-05-30,C02454,Wearables,EU,Mobile,Checkout,4,0,0
2023-11-10,C04015,Audio,India,Mobile,Visit,1,0,0
2024-07-23,C06681,Mobile,India,Mobile,Purchase,5,30851,1
2023-12-08,C03798,Audio,EU,Mobile,Add to Cart,3,0,0
2023-11-01,C07736,Accessories,India,Mobile,Visit,1,0,0
2024-11-22,C04351,Laptop,UK,Desktop,View,2,0,0
2024-11-12,C00960,Wearables,India,Desktop,Purchase,5,64548,1
2023-02-23,C07836,Accessories,US,Desktop,Visit,1,0,0
